CBC	000	1	10	2	3	4	5	6	about	across	against	alberta	all	among	animals	anthem	b	back	beat	because	been	being	between	by	c	cable	can	canada	canada's	canadian	charged	children's	city	closed	could	court	day	death	down	drivers	drug	during	east	energy	fans	federal	fire	first	force	friday	fund	game	get	girls	government	greyhound	had	hardship	he	help	her	high	home	how	if	indigenous	inquiry	into	inuit	it's	its	just	laid	last	losing	make	man	many	may	mechanics	message	mexico	monday	montreal	murder	national	news	next	nfl	night	north	not	off	old	one	ontario	open	opener	or	ottawa	out	people	pipeline	players	police	president	prize	public	quebec	rate	records	red	residential	right	run	said	saturday	say	school	scoop	sears	season	selfies	services	she	shooting	sixties	some	st	staffers	strike	students	sunday	supreme	survivors	take	task	team	than	thanksgiving	them	they	three	thursday	time	toronto	trade	trump	trump's	tuberculosis	u	up	vegas	vote	we	week	weekend	were	what	what's	when	wildlife	win	women	workers	world	years	york	you
CBC | MLB News	0	6	0	10	4	2	2	1	1	0	2	0	5	0	0	2	0	0	3	0	0	0	0	7	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	2	0	5	0	10	0	0	0	0	3	0	1	0	0	0	6	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	0	4	0	0	2	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	1	5	0	3	1	0	0	0	5	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	4	2	1	3	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	1	0	0	3	2	5	1
CBC | NBA News	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	1	0	1	2	0	0	0	0	1	0	0	0	0	1	1	0	0	2	0	1	0	0	0	1	0	0	3	1	0	0	1	1	2	0	1	0	4	2	0	0	0	0	0	7	0	0	1	0	0	1	0	0	3	0	0	1	0	0	1	1	2	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	3	2	2	0	0	0	1	2	0	1	1	0	5	0	5	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	5	0	4	0	8	3	5	2	0	1	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0
CBC | Curling News	1	1	2	2	1	1	2	0	0	2	1	0	1	1	0	0	0	1	1	1	2	0	1	3	0	3	0	20	1	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	3	2	0	0	0	0	0	2	0	0	0	0	1	0	1	2	0	1	1	0	0	0	6	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	3	0	0	14	0	0	0
CBC | CFL News	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	1	0	1	1	3	0	0	1	1	2	0	0	0	0	0	0	0	0	2	0	1	2	1	0	1	0	0	1	0	2	0	2	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	1	0	3	0	1	1	0	0	0	0	0	0	2	1	0	0	3	0	3	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	2	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0
CBC | NFL News	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	12	0	4	0	1	2	1	0	5	0	2	0	3	0	4	0	0	0	0	1	0	0	2	1	0	0	6	0	0	1	0	0	0	0	0	0	6	1	0	0	0	2	0	6	0	2	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	2	0	0	0	0	4	0	0	23	3	0	4	2	0	1	0	0	0	3	0	1	0	0	9	0	4	0	0	0	0	0	0	0	0	0	7	0	2	0	0	0	2	0	0	2	0	0	2	0	0	0	0	5	0	0	1	0	0	2	0	0	2	1	4	2	0	0	9	0	0	2	1	1	0	0	3	0	0	2	0	1	0	0	0	0	0	2	0	0
CBC | NHL News	0	4	1	5	3	2	2	2	0	0	2	2	1	0	0	2	0	2	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	2	0	0	2	0	0	6	1	2	0	1	0	0	0	0	2	0	4	0	0	1	7	0	1	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	2	0	1	0	0	0	10	0	1	5	0	0	0	1	11	2	3	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	7	0	0	0	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	3	1	2	1	0	0	0	1	2	3	0	0	0	0	1	0	0	0	0	6	0	0	0	2	2	0
CBC | Soccer News	0	7	4	3	5	3	0	1	1	1	2	0	0	0	0	0	0	2	4	1	1	0	1	1	0	0	0	1	0	5	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	2	0	0	4	2	1	1	0	0	0	0	0	0	1	3	1	0	1	0	0	2	0	0	0	0	0	0	4	0	3	0	2	0	6	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	0	1	0	1	5	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	6	0	0	1	1	1	2	2	2	0	0	0	0	4	1	0	2	0	0	0	0	0	0	0	0	2	0	0	12	1	3	0
CBC | Figure Skating News	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	6	7	6	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	3	0	0	0	0	0	0	2	0	1	2	4	2	0	0	0	0	0	1	0	3	1	4	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	2	1	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	4	0	0	5	0	0	2	0	0	0	0	0	0	0	2	0	5	1	0	0	1	2	1	3	1	0	0	0	0	3	3	0	0	1	2	0	2	0	0	3	0	1	0	0	14	0	0	0
CBC | British Columbia News	2	1	0	2	2	0	1	0	2	0	0	0	0	0	0	0	10	0	0	2	2	0	0	0	10	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	2	0	3	1	0	0	0	2	0	2	0	0	3	0	0	1	2	1	0	0	0	0	2	0	2	1	5	0	1	0	0	0	0	1	0	1	0	0	0	2	0	1	2	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	3	5	1	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	0	1	3	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	0	0	1	0	1	2	0	1	1	0
CBC | Kamloops News	0	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	22	2	0	1	0	2	0	3	22	0	3	0	1	1	0	1	0	0	2	1	1	0	0	0	0	0	0	0	1	1	0	3	1	1	0	0	0	0	4	0	0	0	0	2	2	1	1	2	0	1	0	1	0	0	1	0	0	0	1	2	1	2	0	0	0	1	2	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	2	0	0	0	1	0	3	0	0	0	0	0	0	0	2	0	0	1	0	0	5	1	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0
CBC | Calgary News	0	1	0	1	1	0	0	1	2	1	2	4	1	0	0	0	0	0	0	0	3	1	1	5	0	0	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	2	1	0	2	1	2	0	0	0	2	0	3	1	3	1	5	1	2	2	0	0	3	0	0	0	2	0	4	1	0	0	0	0	0	0	2	3	2	0	0	2	0	3	1	1	3	0	0	3	2	0	5	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	1	0	0	2	0	2	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	2	1	0	2	2	0	0
CBC | Edmonton News	1	0	0	3	2	0	0	2	1	0	0	9	1	0	2	0	0	0	0	0	1	3	0	3	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	3	2	0	0	0	1	0	3	0	2	1	1	4	0	1	0	0	0	1	2	0	0	3	1	2	1	0	1	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	3	2	2	0	2	1	3	0	2	2	0	0	2	3	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	2	0	2	3	0	0	0	1	2	0	0	1	0	0	2	2	0	1	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	0	1	2	2	1	0	0	3	0	3
CBC | Saskatchewan News	1	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	6	1	0	1	0	1	0	3	1	0	5	0	3	0	0	2	1	2	0	0	0	1	0	0	2	0	0	0	0	1	2	1	0	1	0	0	0	2	1	1	0	0	1	0	0	2	2	3	0	1	0	0	2	1	2	0	6	0	0	0	0	0	0	0	2	2	0	0	3	1	0	0	2	3	0	0	0	0	1	1	6	1	0	0	3	2	0	0	0	0	1	0	2	0	0	0	3	2	2	0	2	0	2	0	0	0	0	2	0	2	0	0	1	1	2	0	0	1	1	0	2	1	1	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	2	2	1	2	2	3	0	0
CBC | Saskatoon News	3	3	1	2	3	1	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	3	1	1	3	0	4	0	1	4	2	2	0	0	0	1	0	0	2	1	1	1	0	1	2	1	1	1	1	0	0	2	1	1	1	0	1	1	1	4	2	3	0	0	0	0	2	1	2	0	0	2	0	0	2	0	0	0	2	1	0	0	3	1	0	0	3	1	0	0	0	0	1	0	3	4	0	0	1	0	0	0	0	0	3	0	4	0	0	1	4	3	4	0	2	0	0	0	1	0	0	4	2	2	0	0	3	3	3	0	0	0	1	0	1	1	2	0	2	1	0	0	0	0	0	1	0	0	2	0	1	2	0	0	1	0	2	1	2	0	3	0	0
CBC | Manitoba News	0	1	0	1	1	0	1	1	3	0	0	0	1	0	2	0	0	3	0	1	0	1	2	2	0	0	1	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	3	0	1	2	0	5	2	2	0	1	2	1	3	2	2	2	0	0	3	4	4	0	1	1	1	2	0	2	0	2	0	0	0	2	0	0	0	0	2	0	0	0	1	2	2	2	1	2	0	0	1	3	0	4	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	2	3	0	3	2	0	2	2	3	0	3	2	2	2	0	0	1	0	0	2	0	0	1	2	3	1	0	0	1	0	0	0	0	0	0	3	1	0	0	0	2	1	0	0	1	2	2	2	2	0	1	0	2
